ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,Pitch (Deg),Roll (Deg),Heading (Deg),MagX,MagY,MagZ
-0.2555389404296875,0.0688442662358284,9.773797035217285,0.0009728239429744294,0.006893944102157782,-0.0023673291459040203,0.0,2019-07-26 12:19:00:081,3.5700465071060052,3.5919285807714134,0,-22.041025161743164,24.14017105102539,-30.437606811523438
-0.21243345737457275,0.06405476480722427,9.802534103393555,-0.001158225272795111,0.006627562974568559,3.010106944941304e-05,0.009998559951782227,2019-07-26 12:19:00:091,7.070095174644829,7.113252366212334,0,-22.041025161743164,24.14017105102539,-30.437606811523438
-0.23398619890213013,0.020949270576238632,9.89113998413086,-0.0006254629525980806,0.0020990834154402524,-0.001834566890725571,0.019997358322143555,2019-07-26 12:19:00:101,10.500411894848135,10.568911446682394,0,-22.041025161743164,24.14017105102539,-30.437606811523438
-0.267512708902359,0.04968626797199249,9.797744750976562,-0.0030228932959568454,0.004496513953854761,0.0005628633876146128,0.029995203018188477,2019-07-26 12:19:00:111,13.856599681349017,13.953419091520571,0,-22.041025161743164,24.14017105102539,-30.437606811523438
-0.229196697473526,0.04010726884007454,9.788166046142578,0.0009728239429744294,-0.0008311091830969619,-0.0005026612202701574,0.039994001388549805,2019-07-26 12:19:00:121,17.153106792327684,17.2691091428956,0,-22.041025161743164,24.14017105102539,-30.437606811523438
-0.18130171298980713,0.07363376021385193,9.773797035217285,-0.0032892744235460706,0.0063611818469793335,0.0013620067703822866,0.04999542236328125,2019-07-26 12:19:00:131,20.385218317876987,20.516941218475253,0,-22.041025161743164,24.14017105102539,-30.437606811523438
-0.229196697473526,0.04489676654338837,9.809718132019043,-0.0006254629525980806,0.004230132566191211,0.0002964822275160976,0.059996843338012695,2019-07-26 12:19:00:141,23.548369813271147,23.701709091800677,0,-22.041025161743164,24.14017105102539,-30.437606811523438
-0.19088071584701538,0.06644951552152634,9.848034858703613,-0.0014246064003843356,0.006094800719390108,0.004824961819153694,0.07000088691711426,2019-07-26 12:19:00:151,26.65177074544437,26.820743211466077,0,-22.041025161743164,24.14017105102539,-30.437606811523438
-0.222012460231781,0.07123901695013046,9.816903114318848,0.0012392051355822353,0.003963751438601987,3.010106944941304e-05,0.07999610900878906,2019-07-26 12:19:00:161,29.690599915502172,29.875317366735537,0,-22.041025161743164,24.14017105102539,-30.437606811523438
-0.23877570033073425,0.07602851092815399,9.809718132019043,0.0009728239429744294,0.00556203846421166,0.0024275314107763475,0.08999776840209961,2019-07-26 12:19:00:171,32.66577740647543,32.86838364816239,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.22680194675922394,0.09279175847768784,9.838455200195312,-9.270064052837282e-05,0.006094800719390108,-0.00023628007642628753,0.09999561309814453,2019-07-26 12:19:00:181,35.58262872079003,35.800260589929024,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.21961770951747894,0.06644951552152634,9.82169246673584,-0.002756512168367621,0.0020990834154402524,0.0005628633876146128,0.10999608039855957,2019-07-26 12:19:00:191,38.444178511007756,38.678050554879945,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.20045970380306244,0.03531776741147041,9.788166046142578,0.0009728239429744294,0.0010335588400647727,-0.001834566890725571,0.12000250816345215,2019-07-26 12:19:00:201,41.25124938152617,41.49980826617331,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.2100387066602707,0.0688442662358284,9.843245506286621,0.003636635413922419,0.003430989183423538,0.002693912538365572,0.12999629974365234,2019-07-26 12:19:00:211,43.99985084608823,44.259756929108775,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.23398619890213013,0.059265267103910446,9.78098201751709,-0.004088417806313744,0.003430989183423538,-0.0023673291459040203,0.13999485969543457,2019-07-26 12:19:00:221,46.69051959584066,46.96991381427071,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.2603284418582916,0.05447576567530632,9.747454643249512,0.00044006165528668966,-3.1965737342537616e-05,-0.0029000914010824694,0.14999890327453613,2019-07-26 12:19:00:231,49.326130092869214,49.62386421276091,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.2483547031879425,0.042502015829086304,9.800139427185059,0.00044006165528668966,0.003430989183423538,-0.0034328539163352434,0.15999531745910645,2019-07-26 12:19:00:241,51.90864815766059,52.22617025734304,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.21722295880317688,0.08560751378536224,9.855218887329102,-0.002223749913189172,0.0005007965523770329,-0.0031664725286716937,0.17000055313110352,2019-07-26 12:19:00:251,54.44494033990985,54.77294237505182,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.23398619890213013,0.04729151725769043,9.80492877960205,-0.0014246064003843356,0.003963751438601987,-0.0023673291459040203,0.1799933910369873,2019-07-26 12:19:00:261,56.92647638478278,57.27275588701537,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.2363809496164322,0.0880022644996643,9.816903114318848,0.00150558626317146,0.00502927620903321,-0.003965616171513693,0.18999600410461426,2019-07-26 12:19:00:271,59.357535047156446,59.71618303772886,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.19806495308876038,0.06166001409292221,9.785771369934082,-0.0016909875279735602,0.000767177712475548,3.010106944941304e-05,0.1999964714050293,2019-07-26 12:19:00:281,61.746763281530114,62.11558860533537,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.17411746084690094,0.09039700776338577,9.840849876403809,0.0025711109035655207,0.005295657336622434,0.0021611501531499603,0.20999598503112793,2019-07-26 12:19:00:291,64.0885817021986,64.46130726462493,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.20764395594596863,0.023344019427895546,9.800139427185059,-0.001158225272795111,0.003430989183423538,-0.0031664725286716937,0.2200007438659668,2019-07-26 12:19:00:301,66.38060679182507,66.77000219475121,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.222012460231781,0.08081801235675812,9.761823654174805,0.0033702542863331946,0.004230132566191211,-0.0010354235079578973,0.22999858856201172,2019-07-26 12:19:00:311,68.6245629695296,69.02322336185287,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.24595995247364044,0.023344019427895546,9.7642183303833,0.00150558626317146,0.006627562974568559,-0.001834566890725571,0.23999404907226562,2019-07-26 12:19:00:321,70.8194926041924,71.23917427609346,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.222012460231781,0.08081801235675812,9.855218887329102,-9.270064052837282e-05,0.006893944102157782,0.003493055921133246,0.24999618530273438,2019-07-26 12:19:00:331,72.97342085130617,73.40504594911111,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.1836964637041092,0.0880022644996643,9.828876495361328,-0.005953085699438316,-0.0021630148860616663,0.001095625642793062,0.2599940299987793,2019-07-26 12:19:00:341,75.09375264377597,75.53002734587373,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.2483547031879425,0.06166001409292221,9.778586387634277,-0.0006254629525980806,0.002631845800655864,0.0008292445152038374,0.26999950408935547,2019-07-26 12:19:00:351,77.16130151021979,77.61255257949708,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.24356520175933838,0.05447576567530632,9.776191711425781,-9.270064052837282e-05,0.0005007965523770329,0.005091342946742919,0.27999377250671387,2019-07-26 12:19:00:361,79.18925087226111,79.65396824259034,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.24356520175933838,0.05208101496100426,9.75224494934082,-0.0019573686555627847,0.0020990834154402524,0.001095625642793062,0.2906978130340576,2019-07-26 12:19:00:371,81.17559060947747,81.65594571159089,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.2603284418582916,0.04010726884007454,9.812113761901855,0.0028374920311547455,0.00556203846421166,-0.0021009480183147955,0.300647497177124,2019-07-26 12:19:00:381,83.11857589860246,83.61655763247434,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.19806495308876038,0.04010726884007454,9.812113761901855,-0.004354798933902968,0.00023441540853316294,0.003493055921133246,0.31009459495544434,2019-07-26 12:19:00:391,85.03295200045682,85.54185256355915,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.2363809496164322,0.05687051638960838,9.778586387634277,-0.0008918440801873052,0.005828419591800884,-0.0036992350439244686,0.32012033462524414,2019-07-26 12:19:00:401,86.9013166904877,87.42485320469645,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.2483547031879425,0.08081801235675812,9.812113761901855,0.0025711109035655207,0.0031646080558343135,0.0021611501531499603,0.32999324798583984,2019-07-26 12:19:00:411,88.73253790377318,89.26549262942547,0,-22.340904235839844,24.739927291870117,-29.537973403930664
-0.229196697473526,0.0688442662358284,9.83366584777832,0.0007064428153852049,0.005295657336622434,0.004292199303900919,0.3400149345397949,2019-07-26 12:19:00:421,90.52820377108665,91.07176296907942,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.21482820808887482,0.07842326164245605,9.871981620788574,0.0009728239429744294,-0.003761301781634176,0.0008292445152038374,0.35003232955932617,2019-07-26 12:19:00:431,92.29482253515299,92.84067753041242,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.2507494390010834,0.04489676654338837,9.778586387634277,-9.270064052837282e-05,-3.1965737342537616e-05,-0.0029000914010824694,0.3600349426269531,2019-07-26 12:19:00:441,94.01956609657293,94.57865479923022,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.24117045104503632,0.020949270576238632,9.761823654174805,0.0009728239429744294,0.006893944102157782,0.0018947690255607357,0.37003469467163086,2019-07-26 12:19:00:451,95.70699930376165,96.28407629978375,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.21961770951747894,0.030528269708156586,9.879166603088379,0.002038348518349909,0.003963751438601987,0.001628387897971511,0.38004446029663086,2019-07-26 12:19:00:461,97.36516154977066,97.95370806746351,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.1645384579896927,0.08081801235675812,9.831271171569824,-0.0003590817924995654,0.0010335588400647727,0.003493055921133246,0.3899955749511719,2019-07-26 12:19:00:471,98.99810429240891,99.58541475192035,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.222012460231781,0.05447576567530632,9.845640182495117,-0.0008918440801873052,0.005828419591800884,0.004558580691564469,0.4000887870788574,2019-07-26 12:19:00:481,100.58900381631481,101.18787162642603,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.18609121441841125,-0.0006034769467078149,9.814508438110352,0.0007064428153852049,-0.004560445424476175,-0.0007690423803686727,0.41001033782958984,2019-07-26 12:19:00:491,102.15803942938268,95.5637910993823,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.18848596513271332,0.10476551204919815,9.819297790527344,0.00150558626317146,0.0028982269282450887,0.0037594370487224705,0.4200167655944824,2019-07-26 12:19:00:501,103.69125656529017,97.2394436402483,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.18130171298980713,0.10237076133489609,9.785771369934082,-0.002756512168367621,0.00556203846421166,0.0002964822275160976,0.4299912452697754,2019-07-26 12:19:00:511,105.19308829253418,98.88421139796762,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.21243345737457275,0.07363376021385193,9.85042953491211,-0.0008918440801873052,-0.0010974903757047679,0.0013620067703822866,0.44000768661499023,2019-07-26 12:19:00:521,106.66513489911979,100.49846299375346,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.2100387066602707,0.08081801235675812,9.864797592163086,0.0009728239429744294,0.004762895081443986,0.001095625642793062,0.45001912117004395,2019-07-26 12:19:00:531,108.10475993300047,102.07855909006672,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.21961770951747894,0.02573877014219761,9.852824211120605,0.00044006165528668966,0.003430989183423538,0.002693912538365572,0.46002793312072754,2019-07-26 12:19:00:541,109.51519851392018,103.63374710040287,0,-21.441268920898438,24.440048217773438,-30.737483978271484
-0.2363809496164322,0.059265267103910446,9.72350788116455,-0.0019573686555627847,0.0012999400326725785,-0.0029000914010824694,0.47018909454345703,2019-07-26 12:19:00:551,110.8963008521053,105.15520460445889,0,-21.441268920898438,24.440048217773438,-30.737483978271484
