ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.297669768,-0.122613579,9.906636238,0.004339882,-0.005483456,0.004629438,-3.565578445,-3.585817826,0,0,2019-07-25 11:50:21:495
0.240195796,-0.038797341,9.801267624,-0.00072136,-0.00415155,0.006227725,-7.065416078,-7.109431027,0,0.003319979,2019-07-25 11:50:21:498
0.28569603,-0.062744834,9.813241005,0.003540738,-0.005483456,0.005428581,-10.48972483,-10.56058133,0,0.006668329,2019-07-25 11:50:21:502
0.175537542,-0.105850331,9.841978073,0.00167607,-0.002553263,0.006227725,-13.85901687,-13.93735936,0,0.009999275,2019-07-25 11:50:21:505
0.228222042,-0.060350087,9.774925232,0.002741595,-0.006016218,0.009157917,-17.15397327,-17.25204489,0,0.013295889,2019-07-25 11:50:21:508
0.240195796,-0.069929086,9.834794044,0.0040735,-0.00415155,0.008092393,-20.3821205,-20.49963344,0,0.01669383,2019-07-25 11:50:21:512
0.209064037,-0.105850331,9.820425034,0.002741595,-0.003885169,0.011821728,-23.54936398,-23.67779991,0,0.020006895,2019-07-25 11:50:21:515
0.295275033,-0.10106083,9.753372192,0.004606263,-0.003885169,0.012620872,-26.64297797,-26.7932217,0,0.023296833,2019-07-25 11:50:21:518
0.240195796,-0.096271336,9.839583397,0.00167607,-0.005749837,0.016083827,-29.68107295,-29.84646008,0,0.026635408,2019-07-25 11:50:21:522
0.240195796,-0.081902832,9.844372749,0.001143308,-0.002020501,0.015018303,-32.65912066,-32.84021059,0,0.029957056,2019-07-25 11:50:21:525
0.233011544,-0.098666079,9.719845772,0.006737312,-0.002020501,0.017682114,-35.57810217,-35.77301025,0,0.033223391,2019-07-25 11:50:21:528
0.261748523,-0.038797341,9.679135323,-0.000454979,0.001176073,0.017948495,-38.43578134,-38.65287091,0,0.036587238,2019-07-25 11:50:21:531
0.266538024,-0.043586839,9.82521534,0.003540738,-0.005217075,0.0192804,-41.23498685,-41.47540876,0,0.040001392,2019-07-25 11:50:21:535
0.300064534,-0.041192088,9.863531113,0.000610546,-0.007614505,0.020345924,-43.97404337,-44.2412268,0,0.043261528,2019-07-25 11:50:21:538
0.256959051,-0.019639343,9.779714584,0.004872644,-0.004684313,0.020079544,-46.66358322,-46.95501398,0,0.046598196,2019-07-25 11:50:21:541
0.295275033,-0.019639343,9.810846329,0.001942451,-0.002819644,0.020878688,-49.29529557,-49.61399045,0,0.049996376,2019-07-25 11:50:21:545
0.216248289,0.023466153,9.734214783,0.003540738,-0.00415155,0.020878688,-51.8831691,-45.02512801,0,0.053290606,2019-07-25 11:50:21:548
0.309643537,0.006702905,9.834794044,0.002475214,-0.007880886,0.023009737,-54.40793712,-40.52587817,0,0.056684732,2019-07-25 11:50:21:552
0.261748523,0.0450189,9.782109261,0.006470931,-0.004417931,0.025140786,-56.88829907,-36.12184168,0,0.060007811,2019-07-25 11:50:21:555
0.194695547,0.023466153,9.779714584,0.002208833,-0.002819644,0.024341642,-59.32720102,-31.80256342,0,0.063305378,2019-07-25 11:50:21:558
